section_name,section_id3,office_id,article_id,url,title,press,wdate,source_file
기업,402,018,0006160492,https://n.news.naver.com/mnews/article/018/0006160492,"카카오, 개편 마무리...이제 광고효과 데이터로 증명할 때-메리츠",이데일리,2025-11-10 08:04,naver_news_list_20251110_s402_p1.html
기업,402,009,0005587224,https://n.news.naver.com/mnews/article/009/0005587224,"한국투자증권 “KT, 실적 불확실성…내년은 회복 기대 높일 시점”",매일경제,2025-11-10 08:04,naver_news_list_20251110_s402_p1.html
기업,402,277,0005676725,https://n.news.naver.com/mnews/article/277/0005676725,"[클릭 e종목]""디오, 실적 성장 본격화""",아시아경제,2025-11-10 08:03,naver_news_list_20251110_s402_p1.html
기업,402,009,0005587223,https://n.news.naver.com/mnews/article/009/0005587223,"“한국콜마, 국내·외 실적 부진 이어질 듯”…목표가↓",매일경제,2025-11-10 08:03,naver_news_list_20251110_s402_p1.html
기업,402,018,0006160487,https://n.news.naver.com/mnews/article/018/0006160487,"YG, 블랙핑크 콘서트 반영에도 아쉬운 실적…목표가↓-유진",이데일리,2025-11-10 07:55,naver_news_list_20251110_s402_p1.html
기업,402,277,0005676713,https://n.news.naver.com/mnews/article/277/0005676713,"[클릭 e종목]""씨젠, 성수기 진입이나 아쉬운 성장세""",아시아경제,2025-11-10 07:49,naver_news_list_20251110_s402_p1.html
기업,402,018,0006160485,https://n.news.naver.com/mnews/article/018/0006160485,"와이지엔터, 양호한 실적에도 주가 낙폭 과해…목표가 15%↓-NH",이데일리,2025-11-10 07:49,naver_news_list_20251110_s402_p1.html
기업,402,277,0005676712,https://n.news.naver.com/mnews/article/277/0005676712,"[클릭 e종목]""신세계, 내년 큰 폭 실적 개선 전망…목표가↑""",아시아경제,2025-11-10 07:48,naver_news_list_20251110_s402_p1.html
기업,402,018,0006160484,https://n.news.naver.com/mnews/article/018/0006160484,"신세계, 백화점 중심 전사 실적 개선…목표가 4%↑-키움",이데일리,2025-11-10 07:48,naver_news_list_20251110_s402_p1.html
기업,402,018,0006160483,https://n.news.naver.com/mnews/article/018/0006160483,"해성디에스, 리드프레임 이익 성장 기대…목표가↑-메리츠",이데일리,2025-11-10 07:48,naver_news_list_20251110_s402_p1.html
기업,402,277,0005676708,https://n.news.naver.com/mnews/article/277/0005676708,"[클릭 e종목]""CJ대한통운, 이제는 물류도 양극화 시대""",아시아경제,2025-11-10 07:45,naver_news_list_20251110_s402_p2.html
기업,402,018,0006160482,https://n.news.naver.com/mnews/article/018/0006160482,"CJ대한통운, 내년 택배 부문 수익성 개선 기대…'매수'-유안타",이데일리,2025-11-10 07:45,naver_news_list_20251110_s402_p2.html
기업,402,008,0005275623,https://n.news.naver.com/mnews/article/008/0005275623,"1460원까지 뚫렸는데 ""아직 우려할 상황 아냐""…이유는?-iM",머니투데이,2025-11-10 07:43,naver_news_list_20251110_s402_p2.html
기업,402,277,0005676707,https://n.news.naver.com/mnews/article/277/0005676707,"[클릭 e종목]""와이지 MD 매출 부진, 빅뱅 20주년으로 반등할까""",아시아경제,2025-11-10 07:42,naver_news_list_20251110_s402_p2.html
기업,402,018,0006160480,https://n.news.naver.com/mnews/article/018/0006160480,"신세계, 실적 회복 본격화…목표가↑-IBK",이데일리,2025-11-10 07:42,naver_news_list_20251110_s402_p2.html
기업,402,015,0005209006,https://n.news.naver.com/mnews/article/015/0005209006,"""카카오, 발빠른 AI 에이전트 내재화 시도 긍정적…목표가↑""-하나",한국경제,2025-11-10 07:39,naver_news_list_20251110_s402_p2.html
기업,402,018,0006160479,https://n.news.naver.com/mnews/article/018/0006160479,"한국콜마, 해외법인 실적 불확실성 확대…목표가 30%↓-대신",이데일리,2025-11-10 07:38,naver_news_list_20251110_s402_p2.html
기업,402,018,0006160478,https://n.news.naver.com/mnews/article/018/0006160478,"씨젠, 호흡기 매출 추정치 하향…목표가↓-다올",이데일리,2025-11-10 07:37,naver_news_list_20251110_s402_p2.html
기업,402,018,0006160476,https://n.news.naver.com/mnews/article/018/0006160476,카톡 '친구탭' 싫다더니 결국 '눈팅' 했나…주가 장밋빛 전망,이데일리,2025-11-10 07:35,naver_news_list_20251110_s402_p2.html
