name,price,change,detail_url,number,item_name,item_code,base_price,ratio,value,industry_info,industry_frequency,industry_source,industry_update_date,parsed_date
RISE 수출주,"18,685",상승 595,https://riseetf.co.kr/prod/finderDetail/4433,50,한진칼,KR7180640005,175,0.96,"18,007,500",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,27,삼성중공업,KR7010140002,667,0.63,"18,042,350",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,32,한화오션,KR7042660001,115,0.52,"14,904,000",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,33,한국전력,KR7015760002,318,0.51,"14,707,500",해외건설 수주통계: 업체별 (주)-전체,WEEKLY,국토교통부,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,53,HMM,KR7011200003,342,0.24,"6,908,400",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,67,코웨이,KR7021240007,55,0.18,"5,027,000",코웨이 국내 환경가전사업 현황 (분기)-국내 렌탈 계정현황,QUARTER,코웨이 IR,2025-11-07,2025-11-07
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,69,HD현대미포,KR7010620003,23,0.17,"4,899,000",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,71,한진칼,KR7180640005,47,0.17,"4,836,300",인천국제공항 여객 통계: 전체 (월)-전체 여객,MONTHLY,인천국제공항,2025-11-07,2025-11-07
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,81,엔씨소프트,KR7036570000,17,0.13,"3,859,000",엔씨소프트 게임별 매출액 (분기)-리니지,QUARTER,엔씨소프트 IR,2025-11-11,2025-11-11
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,125,삼성카드,KR7029780004,27,0.05,"1,404,000",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,129,카카오페이,KR7377300009,29,0.05,"1,493,500",신용카드 이용건수 및 금액 (월)-이용건수,MONTHLY,한국은행,2025-11-10,2025-11-10
RISE 주식혼합,"57,315","상승 1,220",https://riseetf.co.kr/prod/finderDetail/4439,152,팬오션,KR7028670008,227,0.03,"869,410",Freight Index: BDI(Baltic Dry Index) (일)-Baltic Dry Index,DAILY,언론보도 취합,2025-11-11,2025-11-11
RISE 5대그룹주,"9,360",상승 285,https://riseetf.co.kr/prod/finderDetail/4413,13,삼성중공업,KR7010140002,"2,256",3.26,"61,024,800",탱커 신조선가 (주)-VLCC(320K),WEEKLY,한국해양진흥공사,2025-11-10,2025-11-10
