name,price,change,detail_url
RISE 미국장기국채선물인버스(H),"10,860",상승 155,https://riseetf.co.kr/prod/finderDetail/4456
RISE 미국장기국채선물레버리지(합성 H),"5,810",하락 -110,https://riseetf.co.kr/prod/finderDetail/4457
RISE 고배당,"19,485",상승 350,https://riseetf.co.kr/prod/finderDetail/4454
RISE 헬스케어,"16,200",하락 -150,https://riseetf.co.kr/prod/finderDetail/4450
RISE 헬스케어채권혼합,"12,725",하락 -85,https://riseetf.co.kr/prod/finderDetail/4451
RISE 200선물인버스2X,728,하락 -12,https://riseetf.co.kr/prod/finderDetail/4449
RISE 200선물레버리지,"39,265",상승 435,https://riseetf.co.kr/prod/finderDetail/4447
RISE 200선물인버스,"3,375",하락 -15,https://riseetf.co.kr/prod/finderDetail/4448
RISE 차이나HSCEI(H),"11,285",상승 155,https://riseetf.co.kr/prod/finderDetail/4446
RISE V&S셀렉트밸류채권혼합,"13,715",상승 60,https://riseetf.co.kr/prod/finderDetail/4445
RISE V&S셀렉트밸류,"19,360",상승 145,https://riseetf.co.kr/prod/finderDetail/4444
RISE 미국S&P원유생산기업(합성 H),"5,560",하락 -40,https://riseetf.co.kr/prod/finderDetail/4443
RISE 단기통안채,"116,267",상승 22,https://riseetf.co.kr/prod/finderDetail/4441
RISE 주식혼합,"56,920",상승 400,https://riseetf.co.kr/prod/finderDetail/4439
RISE 채권혼합,"72,805",하락 -25,https://riseetf.co.kr/prod/finderDetail/4440
RISE 중국본토대형주CSI100,"23,600",상승 405,https://riseetf.co.kr/prod/finderDetail/4437
RISE 200,"57,410",상승 280,https://riseetf.co.kr/prod/finderDetail/4435
RISE 중기우량회사채,"106,575",하락 -155,https://riseetf.co.kr/prod/finderDetail/4432
RISE 수출주,"18,460",상승 55,https://riseetf.co.kr/prod/finderDetail/4433
RISE 우량업종대표주,"17,145",상승 235,https://riseetf.co.kr/prod/finderDetail/4434
RISE 국고채3년,"109,010",하락 -225,https://riseetf.co.kr/prod/finderDetail/4427
RISE 5대그룹주,"9,255",상승 130,https://riseetf.co.kr/prod/finderDetail/4413
국내주식테마개인연금퇴직연금패시브RISE 2차전지TOP10(465330),"11,195.94",연 0.07,https://riseetf.co.kr
국내주식테마퇴직연금개인연금패시브RISE AI전력인프라(0101N0),"13,470.96",연 0.2,https://riseetf.co.kr
국내주식테마개인연금퇴직연금액티브RISE 2차전지액티브(422420),"7,813.03",연 0.35,https://riseetf.co.kr
레버리지/인버스패시브RISE 200선물레버리지(252400),"39,232.35",연 0.6,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 5G테크(367760),"20,616.13",연 0.45,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 배터리 리사이클링(446700),"10,898.34",연 0.4,https://riseetf.co.kr
국내주식배당개인연금퇴직연금패시브RISE 대형고배당10TR(315960),"35,943.32",연 0.07,https://riseetf.co.kr
레버리지/인버스패시브RISE 코스닥150선물레버리지(278240),"13,514.19",연 0.6,https://riseetf.co.kr
글로벌주식글로벌개인연금퇴직연금패시브RISE 글로벌수소경제(417450),"13,531.54",연 0.4,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 5대그룹주(105780),"9,227.96",연 0.4,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE ESG사회책임투자(290130),"22,120.62",연 0.3,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE IT플러스(326240),"23,961.79",연 0.4,https://riseetf.co.kr
