name,price,change,detail_url
RISE 글로벌게임테크TOP3Plus,"9,910",하락 -155,https://riseetf.co.kr/prod/finderDetail/44J5
RISE 미국고배당다우존스TOP10,"10,215",상승 65,https://riseetf.co.kr/prod/finderDetail/44J6
RISE AI전력인프라,"13,095",하락 -375,https://riseetf.co.kr/prod/finderDetail/44J3
RISE 차이나테크TOP10위클리타겟커버드콜,"10,745",하락 -55,https://riseetf.co.kr/prod/finderDetail/44J1
RISE 코리아밸류업위클리고정커버드콜,"12,325",하락 -255,https://riseetf.co.kr/prod/finderDetail/44J2
RISE 엔비디아고정테크100,"11,370",하락 -85,https://riseetf.co.kr/prod/finderDetail/44I9
RISE AI반도체TOP10,"16,310",하락 -445,https://riseetf.co.kr/prod/finderDetail/44J0
RISE 단기특수은행채액티브,"50,485",상승 5,https://riseetf.co.kr/prod/finderDetail/44I8
RISE 테슬라고정테크100,"14,165",하락 -115,https://riseetf.co.kr/prod/finderDetail/44I6
RISE 팔란티어고정테크100,"14,060",하락 -230,https://riseetf.co.kr/prod/finderDetail/44I7
RISE 미국천연가스밸류체인,"10,445",상승 120,https://riseetf.co.kr/prod/finderDetail/44I4
RISE 미국휴머노이드로봇,"15,800",하락 -70,https://riseetf.co.kr/prod/finderDetail/44I5
RISE 인도디지털성장,"10,430",-,https://riseetf.co.kr/prod/finderDetail/44H4
RISE 미국양자컴퓨팅,"17,055",하락 -540,https://riseetf.co.kr/prod/finderDetail/44I3
RISE 테슬라미국채타겟커버드콜혼합(합성),"10,205",상승 40,https://riseetf.co.kr/prod/finderDetail/44I1
RISE 미국은행TOP10,"11,480",하락 -50,https://riseetf.co.kr/prod/finderDetail/44I2
RISE 미국S&P500엔화노출(합성 H),"11,330",상승 3,https://riseetf.co.kr/prod/finderDetail/44H9
RISE 바이오TOP10액티브,"14,500",하락 -190,https://riseetf.co.kr/prod/finderDetail/44I0
RISE 코리아금융고배당,"14,660",하락 -310,https://riseetf.co.kr/prod/finderDetail/44H8
RISE 미국AI테크액티브,"13,795",하락 -405,https://riseetf.co.kr/prod/finderDetail/44H6
RISE 코리아밸류업,"16,370",하락 -340,https://riseetf.co.kr/prod/finderDetail/44H7
RISE 미국반도체인버스(합성 H),"12,725",상승 275,https://riseetf.co.kr/prod/finderDetail/44H3
RISE 미국테크100데일리고정커버드콜,"11,300",하락 -35,https://riseetf.co.kr/prod/finderDetail/44H5
RISE 미국AI밸류체인데일리고정커버드콜,"13,905",하락 -230,https://riseetf.co.kr/prod/finderDetail/44H1
RISE 미국배당100데일리고정커버드콜,"8,625",하락 -10,https://riseetf.co.kr/prod/finderDetail/44H2
RISE 일본섹터TOP4Plus,"12,215",하락 -105,https://riseetf.co.kr/prod/finderDetail/44H0
RISE 미국AI밸류체인TOP3Plus,"18,195",하락 -95,https://riseetf.co.kr/prod/finderDetail/44G9
RISE 미국30년국채액티브,"10,150",상승 150,https://riseetf.co.kr/prod/finderDetail/44G6
RISE 국고채10년액티브,"105,300",하락 -300,https://riseetf.co.kr/prod/finderDetail/44G7
RISE KOFR금리액티브(합성),"104,765",상승 20,https://riseetf.co.kr/prod/finderDetail/44G5
RISE CD금리액티브(합성),"105,100",상승 10,https://riseetf.co.kr/prod/finderDetail/44G4
RISE 200위클리커버드콜,"10,575",하락 -160,https://riseetf.co.kr/prod/finderDetail/44G3
RISE 버크셔포트폴리오TOP10,"14,120",상승 185,https://riseetf.co.kr/prod/finderDetail/44G1
RISE 글로벌비만산업TOP2+,"9,340",상승 320,https://riseetf.co.kr/prod/finderDetail/44G2
RISE 글로벌리얼티인컴,"10,360",상승 10,https://riseetf.co.kr/prod/finderDetail/44G0
RISE 미국30년국채엔화노출(합성 H),"8,455",상승 120,https://riseetf.co.kr/prod/finderDetail/44F9
RISE 미국30년국채커버드콜(합성),"9,480",상승 110,https://riseetf.co.kr/prod/finderDetail/44F8
RISE 미국달러선물인버스,"8,945",하락 -50,https://riseetf.co.kr/prod/finderDetail/44F6
RISE 미국반도체NYSE,"20,785",하락 -485,https://riseetf.co.kr/prod/finderDetail/44F3
RISE 미국반도체NYSE(H),"18,550",하락 -325,https://riseetf.co.kr/prod/finderDetail/44F4
RISE AI&로봇,"11,600",하락 -380,https://riseetf.co.kr/prod/finderDetail/44F5
RISE 2차전지TOP10인버스(합성),"24,490",상승 870,https://riseetf.co.kr/prod/finderDetail/44F1
RISE 2차전지TOP10,"10,770",하락 -435,https://riseetf.co.kr/prod/finderDetail/44F2
RISE 중국본토CSI300,"13,425",상승 5,https://riseetf.co.kr/prod/finderDetail/44E9
RISE 미국S&P배당킹,"10,790",상승 125,https://riseetf.co.kr/prod/finderDetail/44E6
RISE 글로벌주식분산액티브,"16,510",하락 -45,https://riseetf.co.kr/prod/finderDetail/44E7
RISE 글로벌자산배분액티브,"14,615",상승 10,https://riseetf.co.kr/prod/finderDetail/44E8
RISE 미국달러SOFR금리액티브(합성),"12,340",상승 75,https://riseetf.co.kr/prod/finderDetail/44E5
RISE 머니마켓액티브,"54,885",상승 10,https://riseetf.co.kr/prod/finderDetail/44E4
RISE 미국S&P500(H),"16,135",하락 -120,https://riseetf.co.kr/prod/finderDetail/44E3
RISE 국채30년레버리지(합성),"21,230",하락 -370,https://riseetf.co.kr/prod/finderDetail/44E2
RISE TDF2030액티브,"13,975",하락 -50,https://riseetf.co.kr/prod/finderDetail/44D3
RISE 테슬라애플아마존채권혼합,"16,655",하락 -200,https://riseetf.co.kr/prod/finderDetail/44E1
RISE 삼성그룹Top3채권혼합,"11,515",하락 -70,https://riseetf.co.kr/prod/finderDetail/44E0
RISE 25-11회사채(AA-이상)액티브,"52,455",하락 -5,https://riseetf.co.kr/prod/finderDetail/44D9
RISE 배터리 리사이클링,"10,510",하락 -370,https://riseetf.co.kr/prod/finderDetail/44D7
RISE 글로벌원자력,"39,300","하락 -2,065",https://riseetf.co.kr/prod/finderDetail/44D6
RISE TDF2040액티브,"14,915",하락 -60,https://riseetf.co.kr/prod/finderDetail/44D4
RISE TDF2050액티브,"15,520",하락 -65,https://riseetf.co.kr/prod/finderDetail/44D5
RISE 글로벌농업경제,"9,380",상승 70,https://riseetf.co.kr/prod/finderDetail/44D1
RISE 미국단기투자등급회사채액티브,"12,930",상승 100,https://riseetf.co.kr/prod/finderDetail/44D2
RISE 국채선물3년,"55,230",하락 -75,https://riseetf.co.kr/prod/finderDetail/44D0
RISE 플랫폼테마,"7,370",하락 -165,https://riseetf.co.kr/prod/finderDetail/44C9
RISE 2차전지액티브,"7,485",하락 -315,https://riseetf.co.kr/prod/finderDetail/44C7
RISE 글로벌수소경제,"13,455",하락 -105,https://riseetf.co.kr/prod/finderDetail/44C6
RISE 글로벌클린에너지,"9,705",하락 -90,https://riseetf.co.kr/prod/finderDetail/44C3
