name,price,change,detail_url
RISE 메타버스,"7,440",하락 -135,https://riseetf.co.kr/prod/finderDetail/44C2
RISE 국채선물5년추종,"51,545",하락 -110,https://riseetf.co.kr/prod/finderDetail/44C0
RISE 컨택트대표,"7,020",하락 -125,https://riseetf.co.kr/prod/finderDetail/44B8
RISE 비메모리반도체액티브,"16,065",하락 -610,https://riseetf.co.kr/prod/finderDetail/44B9
RISE 종합채권(A-이상)액티브,"108,495",하락 -270,https://riseetf.co.kr/prod/finderDetail/44B5
RISE 단기채권알파액티브,"113,840",하락 -5,https://riseetf.co.kr/prod/finderDetail/44B6
RISE KIS국고채30년Enhanced,"72,655",하락 -765,https://riseetf.co.kr/prod/finderDetail/44B7
RISE 미국S&P500,"21,285",하락 -20,https://riseetf.co.kr/prod/finderDetail/44B3
RISE 유로스탁스50(H),"15,710",하락 -160,https://riseetf.co.kr/prod/finderDetail/44B4
RISE 글로벌데이터센터리츠(합성),"14,470",하락 -190,https://riseetf.co.kr/prod/finderDetail/44B2
RISE 차이나항셍테크,"9,230",하락 -30,https://riseetf.co.kr/prod/finderDetail/44B1
RISE 미국나스닥100,"27,140",하락 -200,https://riseetf.co.kr/prod/finderDetail/44A9
RISE 5G테크,"20,055",하락 -615,https://riseetf.co.kr/prod/finderDetail/44A7
RISE 수소경제테마,"17,285",하락 -545,https://riseetf.co.kr/prod/finderDetail/44A8
RISE 200TR,"31,565",하락 -620,https://riseetf.co.kr/prod/finderDetail/44A5
RISE 미국고정배당우선증권,"12,375",상승 170,https://riseetf.co.kr/prod/finderDetail/44A4
RISE 금융채액티브,"102,620",하락 -155,https://riseetf.co.kr/prod/finderDetail/4500
RISE 팔라듐선물(H),"6,845",하락 -200,https://riseetf.co.kr/prod/finderDetail/4498
RISE 팔라듐선물인버스(H),"3,815",상승 120,https://riseetf.co.kr/prod/finderDetail/4499
RISE IT플러스,"23,355",하락 -525,https://riseetf.co.kr/prod/finderDetail/4496
RISE 내수주플러스,"10,215",하락 -115,https://riseetf.co.kr/prod/finderDetail/4497
RISE 대형고배당10TR,"35,370",하락 -680,https://riseetf.co.kr/prod/finderDetail/4494
RISE 중국 MSCI China(H),"11,345",하락 -65,https://riseetf.co.kr/prod/finderDetail/4492
RISE 게임테마,"7,760",하락 -65,https://riseetf.co.kr/prod/finderDetail/4488
RISE 코스피,"40,960",하락 -770,https://riseetf.co.kr/prod/finderDetail/4489
RISE 국채선물10년,"54,430",하락 -190,https://riseetf.co.kr/prod/finderDetail/4482
RISE 국채선물10년인버스,"56,575",상승 295,https://riseetf.co.kr/prod/finderDetail/4483
RISE KRX300,"26,505",하락 -505,https://riseetf.co.kr/prod/finderDetail/4481
RISE 차이나H선물인버스(H),"7,540",상승 95,https://riseetf.co.kr/prod/finderDetail/4480
RISE 200고배당커버드콜ATM,"8,665",상승 25,https://riseetf.co.kr/prod/finderDetail/4478
RISE ESG사회책임투자,"21,770",하락 -390,https://riseetf.co.kr/prod/finderDetail/4479
RISE 200금융,"16,685",하락 -345,https://riseetf.co.kr/prod/finderDetail/4470
RISE 국고채3년선물인버스,"112,790",상승 265,https://riseetf.co.kr/prod/finderDetail/4467
RISE 중소형고배당,"14,915",하락 -240,https://riseetf.co.kr/prod/finderDetail/4466
RISE 코스닥150선물레버리지,"12,730",하락 -710,https://riseetf.co.kr/prod/finderDetail/4465
RISE 글로벌테크놀로지(합성 H),"39,085",하락 -565,https://riseetf.co.kr/prod/finderDetail/4464
RISE 코스닥150선물인버스,"3,025",상승 90,https://riseetf.co.kr/prod/finderDetail/4463
RISE KQ고배당,"13,330",하락 -245,https://riseetf.co.kr/prod/finderDetail/4462
RISE 단기국공채액티브,"114,180",하락 -25,https://riseetf.co.kr/prod/finderDetail/4460
RISE 중장기국공채액티브,"110,680",하락 -340,https://riseetf.co.kr/prod/finderDetail/4461
RISE 코스닥150,"15,085",하락 -425,https://riseetf.co.kr/prod/finderDetail/4459
RISE 미국장기국채선물(H),"8,720",상승 55,https://riseetf.co.kr/prod/finderDetail/4455
RISE 미국장기국채선물인버스(H),"10,755",하락 -105,https://riseetf.co.kr/prod/finderDetail/4456
RISE 미국장기국채선물레버리지(합성 H),"5,860",상승 50,https://riseetf.co.kr/prod/finderDetail/4457
RISE 고배당,"19,200",하락 -285,https://riseetf.co.kr/prod/finderDetail/4454
RISE 헬스케어,"15,920",하락 -280,https://riseetf.co.kr/prod/finderDetail/4450
RISE 헬스케어채권혼합,"12,550",하락 -175,https://riseetf.co.kr/prod/finderDetail/4451
RISE 200선물인버스2X,756,상승 28,https://riseetf.co.kr/prod/finderDetail/4449
RISE 200선물레버리지,"37,830","하락 -1,435",https://riseetf.co.kr/prod/finderDetail/4447
RISE 200선물인버스,"3,435",상승 60,https://riseetf.co.kr/prod/finderDetail/4448
RISE 차이나HSCEI(H),"11,165",하락 -120,https://riseetf.co.kr/prod/finderDetail/4446
RISE V&S셀렉트밸류채권혼합,"13,555",하락 -160,https://riseetf.co.kr/prod/finderDetail/4445
RISE V&S셀렉트밸류,"18,945",하락 -415,https://riseetf.co.kr/prod/finderDetail/4444
RISE 미국S&P원유생산기업(합성 H),"5,645",상승 85,https://riseetf.co.kr/prod/finderDetail/4443
RISE 단기통안채,"116,270",상승 3,https://riseetf.co.kr/prod/finderDetail/4441
RISE 주식혼합,"56,095",하락 -825,https://riseetf.co.kr/prod/finderDetail/4439
RISE 채권혼합,"72,350",하락 -455,https://riseetf.co.kr/prod/finderDetail/4440
RISE 중국본토대형주CSI100,"23,650",상승 50,https://riseetf.co.kr/prod/finderDetail/4437
RISE 200,"56,375","하락 -1,035",https://riseetf.co.kr/prod/finderDetail/4435
RISE 중기우량회사채,"106,385",하락 -190,https://riseetf.co.kr/prod/finderDetail/4432
RISE 수출주,"18,090",하락 -370,https://riseetf.co.kr/prod/finderDetail/4433
RISE 우량업종대표주,"16,945",하락 -200,https://riseetf.co.kr/prod/finderDetail/4434
RISE 국고채3년,"108,790",하락 -220,https://riseetf.co.kr/prod/finderDetail/4427
RISE 5대그룹주,"9,075",하락 -180,https://riseetf.co.kr/prod/finderDetail/4413
국내주식테마퇴직연금개인연금패시브RISE AI전력인프라(0101N0),"13,067.48",연 0.2,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 2차전지TOP10(465330),"10,765.66",연 0.07,https://riseetf.co.kr
국내주식테마개인연금퇴직연금액티브RISE 2차전지액티브(422420),"7,508.83",연 0.35,https://riseetf.co.kr
레버리지/인버스패시브RISE 200선물레버리지(252400),"37,792.26",연 0.6,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 5G테크(367760),"19,995.06",연 0.45,https://riseetf.co.kr
국내주식배당개인연금퇴직연금패시브RISE 대형고배당10TR(315960),"35,287.43",연 0.07,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 배터리 리사이클링(446700),"10,535.25",연 0.4,https://riseetf.co.kr
글로벌주식글로벌개인연금퇴직연금패시브RISE 글로벌수소경제(417450),"13,494.7",연 0.4,https://riseetf.co.kr
글로벌주식글로벌개인연금퇴직연금패시브RISE 글로벌클린에너지(399580),"9,765.87",연 0.4,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE 5대그룹주(105780),"9,054.01",연 0.4,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE ESG사회책임투자(290130),"21,701.74",연 0.3,https://riseetf.co.kr
국내주식테마개인연금퇴직연금패시브RISE IT플러스(326240),"23,420.15",연 0.4,https://riseetf.co.kr
